id,content,date,retweets,favorites,mentions,hashtags,,,,,,,
1.21651E+18,"National Security Adviser suggested today that sanctions & protests have Iran “choked off�? will force them to negotiate. Actually, I couldn’t care less if they negotiate. Will be totally up to them but, no nuclear weapons and “don’t kill your protesters.�?,2020-01-12 17:46:18,35271,173170,,
1216540493821239296,https://twitter.com/realDonaldTrump/status/1216540493821239296,مشاور امنیت ملی امروز عنوان کرد كه تحریم ها و اعتراضات، ایران را«به شدت تحت فشار»قرار داده است و آنها را مجبور به مذاكره می كند.در واقع، اصلا برایم اهمیتی نداردکه آیا آنها مذاکره می کنند یا نه.این کاملاً به عهده ی خودشان است، اما سلاح هسته ای نداشته باشیدو«معترضان خود را نکشید.»https://twitter.com/realDonaldTrump/status/1216506722153639942 �?2020-01-12 20:00:30,25409,110939,,
1216716337822695425,https://twitter.com/realDonaldTrump/status/1216716337822695425,Mini Mike Bloomberg is spending a lot of money on False Advertising. I was the person who saved Pre-Existing Conditions in your Healthcare", you have it now, while at the same time winning the fight to rid you of the expensive," unfair and very unpopular Individual Mandate.....""",2020/1/13 7:39,23449,103561,,,,,,
1.21672E+18,"....and, if Republicans win in court and take back the House of Represenatives, your healthcare, that I have now brought to the best place in many years, will become the best ever, by far. I will always protect your Pre-Existing Conditions, the Dems will not!",2020/1/13 7:39,12949,57112,,,,,,,,,
1.21674E+18,"Bernie Sander’s volunteers are trashing Elizabeth “Pocahontus�?Warren. Everybody knows her campaign is dead and want her potential voters. Mini Mike B is also trying, but getting tiny crowds which are all leaving fast. Elizabeth is very angry at Bernie. Do I see a feud brewing?",2020/1/13 9:25,18767,104772,,,,,,,,,
1.21675E+18,"The Democrats and the Fake News are trying to make terrorist Soleimani into a wonderful guy, only because I did what should have been done for 20 years. Anything I do, whether it’s the economy, military, or anything else, will be scorned by the Rafical Left, Do Nothing Democrats!",2020/1/13 9:47,28132,126822,,,,,,,,,
1.21675E+18,"Wow! The wonderful Iranian protesters refused to step on, or in any way denigrate, our Great American Flag. It was put on the street in order for them to trample it, and they walked around it instead. Big progress!",2020/1/13 9:53,48234,293339,,,,,,,,,
1.21675E+18,"The Fake News Media and their Democrat Partners are working hard to determine whether or not the future attack by terrorist Soleimani was “imminent�?or not, & was my team in agreement. The answer to both is a strong YES., but it doesn’t really matter because of his horrible past!",2020/1/13 10:09,21517,103123,,,,,,,,,
1.21676E+18,"Really Big Breaking News (Kidding): Booker, who was in zero polling territory, just dropped out of the Democrat Presidential Primary Race. Now I can rest easy tonight. I was sooo concerned that I would someday have to go head to head with him!",2020/1/13 10:13,29271,165242,,,,,,,,,
1.21677E+18,"“We demand fairness�?shouts Pelosi and the Do Nothing Democrats, yet the Dems in the House wouldn’t let us have 1 witness, no lawyers or even ask questions. It was the most unfair witch-hunt in the history of Congress!",2020/1/13 11:31,34361,154717,,,,,,,,,
1.21687E+18,"I stand stronger than anyone in protecting your Healthcare with Pre-Existing Conditions. I am honored to have terminated the very unfair, costly and unpopular individual mandate for you!",2020/1/13 17:58,34742,203526,,,,,,,,,
1.21695E+18,Thank you to Rick Scott. This Impeachment Hoax is an outrage!https://twitter.com/TeamTrump/status/1216896462858022912 �?2020-01-13 23:25:32,20354,87422,,,,,,,,,,
