id,timestamp,tweet,replies,retweets,quotes,likes,,,
1.21761E+18,2020/1/16 1:05,"I'm more optimistic about our future today than I was when I got elected to the Senate as a 29-year-old. If we come together and unite this country, there's not a single thing we can't do. https://t.co/LGNHTgei6W",693,1068,101,5285,,,
1.21764E+18,2020/1/16 2:38,"America has never lived up to our promise of equality for all, but we've never stopped trying. Virginia brought us closer to that highest ideal today by ratifying the long overdue #ERA.

Women's rights should be explicitly in our Constitution—not left to the whims of legislators. https://t.co/F4E4PYEo0f",263,578,32,2731,,,
1.21786E+18,2020/1/16 17:41,"If true, this constitutes an unprecedented attack on our Foreign Service. Amb. Yovanovitch spent her life advancing U.S. interests, only to be defamed by this administration. Our diplomats deserve better. It's inexcusable that Sec. Pompeo won't defend them. https://t.co/R3rCeQEKX9",232,1417,34,5383,,,
1.21789E+18,2020/1/16 19:30,The character of our nation is on the ballot in this election. We are so much better than who Donald Trump thinks we are �?and we have to prove that this November. https://t.co/dToLAHQ2Hd,437,701,58,3132,,,
1.21792E+18,2020/1/16 21:15,A president has to be able to not only fight �?but heal and bring our country together. I promise you that’s what I will do if I’m elected. https://t.co/MiRb0eGq9H,472,718,53,3189,,,
1.21794E+18,2020/1/16 22:30,Voting is a right. https://t.co/Ch2ZCfLqXz,534,1516,68,8031,,,
1.21796E+18,2020/1/17 0:09,"Let's be clear: white supremacy, racism, and violence have no place in America. We have to root out these evils and give hate no safe harbor. If we stand together, we will win the battle for the soul of our nation. https://t.co/A5NlIcOPZr",371,1719,54,7179,,,
1.21797E+18,2020/1/17 0:45,"America’s farmers have had enough of your empty promises, Mr. President. https://t.co/nsOyktOqkR https://t.co/9NSJj7pRjY",259,717,36,2246,,,
1.21798E+18,2020/1/17 1:30,Hate never goes away; it just hides. And when leaders give it oxygen �?as Donald Trump has done �?it comes roaring back. https://t.co/NsCSRzlWlk,746,2146,142,8180,,,
1.21817E+18,2020/1/17 13:55,"This isn't just about who I am, this is about who we are as a country. We're tough, resilient, but always full of hope. With every fiber in my being, I believe there’s not a single thing we can't do—if we do it together. https://t.co/GfPWX1VTvH",1122,3337,302,14238,,,
1.21825E+18,2020/1/17 18:56,"It is a moral failing when children are ripped from their parents' arms, locked away in overcrowded detention centers, and denied toothbrushes and soap.

We have to end Donald Trump's cruel policies and build a fair and humane immigration system.",1335,2705,222,11660,,,
1.21829E+18,2020/1/17 21:33,"Minnesota �?early voting is now open! Don’t wait until March 3rd to cast your ballot, head to the polls and be one of the first in the nation to make your voice heard in the primary.

Find everything you need to know here: https://t.co/WGNqS2VPDH https://t.co/PfCV0FiHLq",103,327,18,887,,,
1.21829E+18,2020/1/17 22:10,No malarkey here. https://t.co/7ODeSCfYMu,317,409,60,1711,,,
1.21831E+18,2020/1/17 22:54,"Donald Trump says he prefers war heroes who ""weren't captured."" He attacks Gold Star families. Now he calls our generals “losers,"" “babies�?and “dopes.""

He degrades the office he holds every day. https://t.co/mvLLdHCzRz",1102,5117,345,17346,,,
1.21831E+18,2020/1/17 22:54,We need a president who respects our troops �?and who will restore honor and integrity to the Oval Office. https://t.co/q9o1dUJ00h,358,990,68,4502,,,
1.21833E+18,2020/1/18 0:20,"Happy birthday, @MichelleObama. You’re a shining light in the lives of all that have the honor of knowing you. Jill and I are grateful to call you a dear friend.

But don’t tell Jill �?I’m still eating ice cream. And I’m not sorry. https://t.co/YSvEKrvlRk",406,1480,63,13181,,,
1.21857E+18,2020/1/18 16:15,"Vermont �?you don't have to wait until March 3rd to cast your ballot, you can early vote now! Head to https://t.co/bj5863RbJr to find all the info you need to make your voice heard in the primary. https://t.co/L4oMQotl0g",215,386,29,987,,,
1.21859E+18,2020/1/18 18:01,Weapons of war have no place in our communities. It’s time we take on the @NRA and ban assault weapons for good.,3691,3723,622,23167,,,
1.21862E+18,2020/1/18 19:53,"Together, we're going to beat Donald Trump and take back this country.

Chip in if you’re ready to leave him in the dust: https://t.co/wyp2zOcUWA https://t.co/qCgcncjpln",3056,1148,189,4145,,,
1.21866E+18,2020/1/18 22:15,"There used to be a basic bargain in this country—when you worked hard, you shared in the prosperity you helped create. But CEOs and Wall Street continue to put profits over workers. It's wrong.

We have to restore the dignity of work and ensure everyone earns what they deserve.",1278,1641,141,6982,,,
1.21868E+18,2020/1/19 0:00,"Donald Trump continues to embrace corruption at home and abroad. Rather than addressing the root causes pushing people to flee Central America, he has undermined anti-corruption bodies—first in Guatemala and now in Honduras. https://t.co/bJzaXo3XAQ",718,1307,62,3633,,,
1.21893E+18,2020/1/19 16:16,"Thank you @Captsully for sharing your story. There’s a lot of kids who I bet needed to hear it. 

Being different isn’t a barrier to success. It can give you the strength to save lives in a crash landing �?or even run for President. https://t.co/0sYl6VhJyr",243,2099,64,9736,,,
1.21895E+18,2020/1/19 17:16,"I stand with the snow plow drivers who work day in and day out to keep our roads safe, often in dangerous conditions. Every worker in this country deserves the dignity that comes with fair wages and benefits. Stay safe out there, @IBT_320. https://t.co/hVLXy2urWP",223,319,15,1533,,,
1.21899E+18,2020/1/19 19:56,"The 60th anniversary of our alliance with Japan reminds us that close partnership and deep cooperation are among our greatest assets. I understand the value of our alliances; they make us stronger. I would build on this legacy, rather than dismantling it.",348,790,34,3966,,,
1.219E+18,2020/1/19 21:11,"The big banks didn't need an additional $32 billion in savings, and their shareholders certainly didn't need an extra $21.5 billion in payouts.

It's time we ensure corporations pay their fair share and that our country rewards work �?not wealth. https://t.co/eW8qS4yNBf",520,1556,71,4192,,,
